age,gender,service_branch,rank,MOS,years_of_service,marital_status,dependents,education_level,months_until_contract_end,total_training_hours,specialized_courses_completed,training_score_average,certifications_held,days_since_last_training,skills_current,training_budget_spent,health_index,physical_fitness_score,medical_restrictions,days_on_medical_leave,mental_health_status,wellness_program_participation,annual_leave_taken,emergency_leave_incidents,unauthorized_absences,leave_balance,leave_to_service_ratio,total_deployments,months_deployed_last_3yrs,deployment_type,months_since_last_deployment,mission_performance_rating,combat_exposure_level,performance_review_score,commendations,disciplinary_actions,leadership_potential_score,promotion_eligible,peer_rating_score,civilian_job_offers,financial_stress_indicator,family_support_score,relocation_willingness,attrition_risk,readiness_score,training_recency_score,deployment_recency_score,contract_pressure,contract_urgency_score,time_in_rank_estimate,training_gap,training_hours_per_year_service,health_performance_index,leave_to_deployment_ratio,skill_decay_factor,fitness_to_age_ratio,deployments_per_year,commendations_to_discipline_ratio,training_efficiency,leave_utilization_rate,deployment_load,unit_avg_readiness,relative_readiness,branch_attrition_rate,mos_retention_rate,peer_group_performance,performance_trajectory,rank_avg_health,wellness_red_flag,high_stress_indicator,deployment_fatigue,low_engagement,career_stagnation,retention_risk_composite
29,Male,Navy,NCO,Military Police,15,Single,0,Bachelor,42,941,7,69.9,6,345,True,9553,97.1,100.0,False,16.0,Fair,False,21,3.0,0,9,1.4,5,7,Domestic,20,4,Low,84.4,0,0,57.1,True,77.8,3.0,Low,79.1,High,LOW_RISK,86.0,0.1470964673929768,0.18887560283756183,0,0.125,10,0,62.733333333333334,81.9524,3.0,0.1470964673929768,3.4482758620689653,0.3333333333333333,0.0,489.30000000000007,0.7,0.03888888888888889,73.65185185185184,12.348148148148155,0.04433497536945813,0.9696969696969697,82.27122302158274,Above Average,84.65279329608938,0,0,0,0,0,2
25,Male,Army,Junior,Cyber Operations,6,Married,2,Bachelor,37,349,4,79.0,4,508,False,7904,99.9,86.9,False,3.0,Excellent,False,21,2.0,0,9,3.5,1,28,Combat,26,3,Low,86.7,6,0,42.8,True,79.5,0.0,Medium,70.4,Medium,LOW_RISK,70.7,0.059473632124684116,0.11455884399268773,0,0.22916666666666666,6,1,58.166666666666664,86.6133,0.75,0.0,3.4760000000000004,0.16666666666666666,6.0,316.0,0.7,0.3888888888888889,70.29583333333333,0.40416666666666856,0.06393442622950819,0.935064935064935,81.27435897435898,Above Average,87.2337972166998,0,0,1,0,0,1
28,Female,Army,Officer,Engineer,10,Married,2,Bachelor,5,647,14,72.8,8,650,False,24112,100.0,92.0,False,13.0,Good,True,16,2.0,0,14,1.6,4,12,Combat,5,4,Low,97.5,9,0,84.2,True,100.0,2.0,Low,74.7,Medium,MEDIUM_RISK,74.5,0.027021805951209062,0.6592406302004438,1,0.8958333333333334,0,1,64.7,97.5,1.3333333333333333,0.0,3.2857142857142856,0.4,9.0,1019.1999999999999,0.5333333333333333,0.1,73.88333333333334,0.61666666666666,0.06393442622950819,0.9482758620689655,85.33684210526316,Above Average,82.6136690647482,0,0,0,0,0,5
20,Male,Army,Junior,Infantry,4,Single,3,Master,32,301,3,98.5,3,413,False,3777,79.7,56.1,False,8.0,Good,False,6,0.0,0,24,1.5,1,24,Combat,6,4,Low,69.0,2,0,49.7,False,62.8,0.0,High,65.1,Low,LOW_RISK,73.1,0.10081738737259714,0.6065306597126334,0,0.3333333333333333,4,1,75.25,54.993,0.25,0.0,2.805,0.25,2.0,295.5,0.2,0.5,68.40322580645162,4.696774193548379,0.06393442622950819,0.9142857142857143,82.14514106583071,Below Average,87.2337972166998,0,1,0,1,0,3
21,Female,Army,Junior,Engineer,2,Single,5,Master,13,133,4,75.0,3,246,True,10097,86.1,67.2,False,3.0,Excellent,False,15,0.0,0,15,7.5,0,0,Domestic,999,3,Low,69.0,0,0,27.7,False,70.1,0.0,High,43.0,Low,MEDIUM_RISK,60.0,0.25495539602650996,0.0,0,0.7291666666666666,2,0,66.5,59.409,15.0,0.25495539602650996,3.2,0.0,0.0,300.0,0.5,0.0,71.08275862068966,-11.08275862068966,0.06393442622950819,0.9482758620689655,82.14514106583071,Below Average,87.2337972166998,0,1,0,1,0,3
23,Female,Navy,Junior,Cyber Operations,4,Single,5,Master,28,474,4,85.2,2,449,False,4314,95.6,81.9,False,9.0,Good,False,18,4.0,0,12,4.5,1,13,International,5,3,Low,90.0,4,0,64.3,True,81.5,2.0,High,42.0,Low,MEDIUM_RISK,80.4,0.08254229548692106,0.6592406302004438,0,0.4166666666666667,4,1,118.5,86.04,1.3846153846153846,0.0,3.5608695652173914,0.25,4.0,340.8,0.6,0.2708333333333333,70.29583333333333,10.104166666666671,0.04433497536945813,0.935064935064935,82.14514106583071,Above Average,87.2337972166998,0,1,0,0,0,4
24,Male,Army,Junior,Logistics,0,Married,0,Bachelor,33,7,4,85.7,3,21,True,6493,79.3,76.7,False,45.0,Good,True,29,0.0,0,1,29.0,2,30,Combat,10,5,Low,83.6,2,0,57.9,False,81.9,0.0,Low,54.6,Medium,LOW_RISK,75.1,0.8898817709880238,0.4345982085070782,0,0.3125,0,0,7.0,66.2948,0.9666666666666667,0.8898817709880238,3.1958333333333333,2.0,2.0,342.8,0.9666666666666667,2.5,69.540625,5.559374999999989,0.06393442622950819,0.9672131147540983,82.14514106583071,Average,87.2337972166998,1,0,1,0,0,3
28,Female,Air Force,Junior,Intelligence,7,Married,1,Associate,9,621,2,68.4,1,408,False,7290,83.4,69.1,False,1.0,Excellent,True,17,0.0,0,13,2.43,4,33,Domestic,28,5,Low,82.6,3,0,65.1,True,82.1,3.0,Low,70.4,Medium,HIGH_RISK,56.3,0.10365712861152786,0.09697196786440505,1,0.8125,7,1,88.71428571428571,68.8884,0.5151515151515151,0.0,2.4678571428571425,0.5714285714285714,3.0,136.8,0.5666666666666667,0.39285714285714285,66.50810810810812,-10.20810810810812,0.08021390374331551,0.90625,81.27435897435898,Above Average,87.2337972166998,0,0,1,0,0,6
25,Female,Air Force,Junior,Infantry,7,Single,1,Master,41,640,2,79.0,2,457,False,6473,89.8,77.3,False,5.0,Good,False,8,0.0,1,22,1.14,3,10,Combat,3,4,High,88.2,7,0,53.0,True,81.45,0.0,Low,75.4,Medium,LOW_RISK,56.4,0.07895407782477427,0.7788007830714049,0,0.14583333333333334,7,1,91.42857142857143,79.2036,0.8,0.0,3.092,0.42857142857142855,7.0,158.0,0.26666666666666666,0.11904761904761904,68.40322580645162,-12.003225806451617,0.08021390374331551,0.9142857142857143,81.27435897435898,Above Average,87.2337972166998,0,0,0,0,0,0
22,Male,Army,Junior,Infantry,0,Widowed,3,High School,17,49,2,92.0,4,444,False,6015,86.5,78.7,False,0.0,Excellent,False,18,3.0,0,12,18.0,1,30,International,13,5,Low,85.2,7,0,42.8,False,72.1,2.0,High,69.4,High,MEDIUM_RISK,65.5,0.0848672789700174,0.3384654251067422,0,0.6458333333333334,0,1,49.0,73.69800000000001,0.6,0.0,3.5772727272727276,1.0,7.0,184.0,0.6,2.5,68.40322580645162,-2.9032258064516157,0.06393442622950819,0.9142857142857143,82.14514106583071,Average,87.2337972166998,0,1,1,0,0,5
29,Female,Army,Officer,Signal,26,Single,3,High School,44,2000,10,71.3,8,265,True,24671,87.4,66.2,True,7.0,Good,False,24,0.0,0,6,0.92,7,18,Domestic,2,2,Low,77.1,2,0,78.8,True,85.2,0.0,Medium,60.8,High,LOW_RISK,83.5,0.22941510696103626,0.8464817248906141,0,0.08333333333333333,16,0,76.92307692307692,67.3854,1.3333333333333333,0.22941510696103626,2.282758620689655,0.2692307692307692,2.0,713.0,0.8,0.057692307692307696,74.64999999999999,8.850000000000009,0.06393442622950819,0.9154929577464789,81.71122448979591,Average,82.6136690647482,0,0,0,0,0,0
25,Female,Army,Junior,Artillery,5,Married,2,Bachelor,5,376,2,88.3,3,660,False,4710,76.4,69.4,False,8.0,Fair,True,27,3.0,0,3,5.4,3,33,Domestic,35,5,Low,86.1,9,0,52.1,True,81.45,3.0,High,30.0,Medium,HIGH_RISK,60.2,0.025561533206507402,0.05411376622282161,1,0.8958333333333334,5,1,75.2,65.7804,0.8181818181818182,0.0,2.7760000000000002,0.6,9.0,176.6,0.9,0.55,68.22666666666666,-8.026666666666657,0.06393442622950819,0.9014084507042254,82.14514106583071,Above Average,87.2337972166998,0,1,1,0,0,8
23,Male,Navy,Junior,Armor,2,Married,2,High School,16,489,2,76.7,2,184,True,222,88.1,99.0,False,1.0,Good,True,14,0.0,0,16,7.0,1,18,Domestic,28,1,Low,82.5,4,0,67.7,False,96.0,0.0,Medium,56.1,Low,LOW_RISK,67.7,0.3597945077825237,0.09697196786440505,0,0.6666666666666666,2,0,244.5,72.68249999999999,0.7777777777777778,0.3597945077825237,4.304347826086956,0.5,4.0,153.4,0.4666666666666667,0.75,68.59722222222223,-0.8972222222222257,0.04433497536945813,0.9142857142857143,82.14514106583071,Above Average,87.2337972166998,0,0,0,0,0,0
31,Male,Navy,NCO,Medical,8,Married,1,Bachelor,41,1148,4,91.6,3,227,True,7583,87.4,72.2,False,19.0,Excellent,False,14,0.0,0,16,1.75,3,7,International,23,4,Low,80.1,3,0,55.2,True,73.1,1.0,Low,46.8,Low,LOW_RISK,79.6,0.2833390303894612,0.1470964673929768,0,0.14583333333333334,3,0,143.5,70.0074,2.0,0.2833390303894612,2.329032258064516,0.375,3.0,366.4,0.4666666666666667,0.07291666666666667,72.25217391304348,7.347826086956516,0.04433497536945813,0.9508196721311475,81.72773722627738,Average,84.65279329608938,0,1,0,0,0,4
34,Male,Navy,NCO,Cyber Operations,6,Single,0,Bachelor,35,621,4,97.5,3,548,False,8520,100.0,76.5,False,2.0,Excellent,False,5,0.0,0,25,0.83,3,27,Domestic,23,3,Low,92.3,5,0,55.1,True,100.0,0.0,Low,100.0,High,LOW_RISK,71.7,0.04762276172954922,0.1470964673929768,0,0.2708333333333333,1,1,103.5,92.3,0.18518518518518517,0.0,2.25,0.5,5.0,390.0,0.16666666666666666,0.375,70.75238095238095,0.9476190476190567,0.04433497536945813,0.935064935064935,81.72773722627738,Above Average,84.65279329608938,0,0,1,0,0,1
32,Female,Army,Officer,Special Forces,19,Single,0,Associate,37,1566,8,60.0,6,246,True,18872,83.1,100.0,False,20.0,Good,False,11,1.0,0,19,0.58,5,15,International,35,4,Low,84.8,1,0,62.1,True,87.0,0.0,Low,71.5,Medium,LOW_RISK,75.0,0.25495539602650996,0.05411376622282161,0,0.22916666666666666,9,0,82.42105263157895,70.46879999999999,0.7333333333333333,0.25495539602650996,3.125,0.2631578947368421,1.0,480.0,0.36666666666666664,0.06578947368421052,74.01428571428572,0.9857142857142804,0.06393442622950819,0.9620253164556962,81.71122448979591,Above Average,82.6136690647482,0,0,0,0,0,0
51,Female,Navy,Officer,Aviation,29,Single,3,Master,33,2000,5,66.6,5,73,True,14196,73.6,74.9,False,8.0,Good,False,18,0.0,0,12,0.62,8,31,International,32,3,Low,80.1,0,0,67.0,True,66.8,0.0,Low,100.0,Medium,LOW_RISK,71.1,0.6666063710952372,0.06948345122280154,0,0.3125,19,0,68.96551724137932,58.95359999999999,0.5806451612903226,0.6666063710952372,1.4686274509803923,0.27586206896551724,0.0,333.0,0.6,0.08908045977011494,72.0,-0.9000000000000057,0.04433497536945813,0.9666666666666667,81.71122448979591,Average,82.6136690647482,0,0,1,0,0,1
26,Male,Navy,Junior,Maintenance,5,Single,5,Bachelor,35,180,4,75.6,3,150,True,11668,94.7,74.7,False,21.0,Good,True,4,0.0,3,26,0.8,1,29,International,2,1,Low,97.2,7,0,67.7,True,99.2,0.0,High,71.5,Low,LOW_RISK,79.3,0.4345982085070782,0.8464817248906141,0,0.2708333333333333,5,0,36.0,92.0484,0.13793103448275862,0.4345982085070782,2.873076923076923,0.2,7.0,302.4,0.13333333333333333,0.48333333333333334,68.79032258064517,10.50967741935483,0.04433497536945813,0.9344262295081968,82.14514106583071,Above Average,87.2337972166998,0,1,1,0,0,3
28,Female,Navy,NCO,Infantry,13,Married,3,Associate,33,1076,2,94.7,3,513,False,4431,55.3,68.4,False,5.0,Excellent,False,29,0.0,0,1,2.23,5,19,Domestic,16,3,Low,88.1,4,0,37.8,True,93.3,0.0,Medium,100.0,Medium,LOW_RISK,60.7,0.057844320874838456,0.26359713811572677,0,0.3125,8,1,82.76923076923077,48.7193,1.5263157894736843,0.0,2.442857142857143,0.38461538461538464,4.0,189.4,0.9666666666666667,0.12179487179487179,70.7,-10.0,0.04433497536945813,0.9142857142857143,82.27122302158274,Above Average,84.65279329608938,1,0,0,0,0,2
40,Male,Navy,NCO,Armor,5,Married,5,High School,12,254,8,85.3,5,69,True,20327,80.2,80.0,False,14.0,Fair,True,13,0.0,1,17,2.6,3,31,International,16,2,Low,89.6,3,0,49.7,True,95.5,0.0,High,76.3,Medium,LOW_RISK,74.2,0.6815856661938479,0.26359713811572677,0,0.75,0,0,50.8,71.8592,0.41935483870967744,0.6815856661938479,2.0,0.6,3.0,682.4,0.43333333333333335,0.5166666666666667,70.25454545454545,3.9454545454545524,0.04433497536945813,0.9142857142857143,84.10000000000001,Above Average,84.65279329608938,0,1,1,0,0,3
25,Male,Air Force,Junior,Artillery,5,Married,0,Bachelor,27,502,2,67.6,1,230,True,705,82.8,69.4,False,11.0,Fair,False,16,1.0,0,14,3.2,2,32,Domestic,3,3,Low,100.0,5,0,43.9,True,97.6,3.0,Low,77.1,Medium,LOW_RISK,75.4,0.2786558481415308,0.7788007830714049,0,0.4375,5,0,100.4,82.8,0.5,0.2786558481415308,2.7760000000000002,0.4,5.0,135.2,0.5333333333333333,0.5333333333333333,68.22666666666666,7.173333333333346,0.08021390374331551,0.9014084507042254,82.14514106583071,Above Average,87.2337972166998,0,0,1,0,0,3
20,Male,Army,Junior,Infantry,4,Single,3,Master,4,175,4,86.8,3,723,False,3517,92.0,83.7,False,8.0,Fair,True,17,0.0,0,13,4.25,2,33,Domestic,28,4,Low,82.9,0,0,39.3,True,100.0,0.0,Medium,100.0,Medium,MEDIUM_RISK,69.5,0.01801290800557516,0.09697196786440505,1,0.9166666666666666,4,1,43.75,76.268,0.5151515151515151,0.0,4.1850000000000005,0.5,0.0,347.2,0.5666666666666667,0.6875,68.40322580645162,1.0967741935483843,0.06393442622950819,0.9142857142857143,82.14514106583071,Above Average,87.2337972166998,0,0,1,0,0,4
36,Female,Air Force,Officer,Maintenance,10,Married,4,Bachelor,37,731,10,70.9,5,72,True,16220,97.1,83.6,False,17.0,Good,False,23,0.0,0,7,2.3,5,24,Domestic,29,3,Low,79.8,3,0,61.8,True,99.3,0.0,Medium,55.8,Medium,LOW_RISK,84.6,0.6703200460356393,0.08921851740926011,0,0.22916666666666666,0,0,73.1,77.48579999999998,0.9583333333333334,0.6703200460356393,2.322222222222222,0.5,3.0,709.0,0.7666666666666667,0.2,77.80714285714285,6.7928571428571445,0.08021390374331551,0.9344262295081968,85.33684210526316,Below Average,82.6136690647482,0,0,0,0,0,0
22,Male,Air Force,Junior,Infantry,4,Single,1,Bachelor,32,0,3,88.7,3,608,False,3506,100.0,100.0,False,10.0,Good,True,17,0.0,1,13,4.25,1,27,International,20,3,Low,92.8,4,0,53.0,True,96.2,0.0,Low,56.7,Medium,LOW_RISK,65.2,0.03412319987521719,0.18887560283756183,0,0.3333333333333333,4,1,0.0,92.8,0.6296296296296297,0.0,4.545454545454546,0.25,4.0,266.1,0.5666666666666667,0.5625,68.40322580645162,-3.203225806451613,0.08021390374331551,0.9142857142857143,82.14514106583071,Above Average,87.2337972166998,0,0,1,0,0,1
38,Female,Air Force,NCO,Human Resources,12,Widowed,1,High School,24,725,4,85.4,4,397,False,7325,86.5,90.8,False,21.0,Excellent,True,8,0.0,0,22,0.67,3,6,Domestic,33,3,Low,80.8,2,0,52.0,True,67.6,0.0,Low,72.5,Low,LOW_RISK,70.3,0.11018929202346904,0.06392786120670757,0,0.5,7,1,60.416666666666664,69.892,1.3333333333333333,0.0,2.389473684210526,0.25,2.0,341.6,0.26666666666666666,0.041666666666666664,73.8103448275862,-3.5103448275862092,0.08021390374331551,0.9577464788732395,82.27122302158274,Average,84.65279329608938,0,0,0,0,0,0
18,Male,Army,Junior,Signal,7,Married,4,High School,9,631,5,70.8,5,84,True,14383,74.5,40.0,False,5.0,Fair,True,18,3.0,0,12,2.57,4,11,Domestic,22,2,Low,79.1,0,0,54.5,True,69.1,0.0,High,100.0,Low,LOW_RISK,70.4,0.6270890852730561,0.1598797460796939,1,0.8125,7,0,90.14285714285714,58.9295,1.6363636363636365,0.6270890852730561,2.2222222222222223,0.5714285714285714,0.0,354.0,0.6,0.13095238095238096,67.64999999999999,2.750000000000014,0.06393442622950819,0.9154929577464789,81.27435897435898,Average,87.2337972166998,0,1,0,0,0,5
29,Male,Army,Junior,Aviation,7,Married,0,High School,7,386,1,79.3,1,299,True,2479,81.6,100.0,False,9.0,Excellent,True,23,0.0,0,7,3.29,3,28,Domestic,8,4,Low,73.4,2,0,57.9,False,70.7,0.0,Low,62.5,Medium,LOW_RISK,77.0,0.18992783189435697,0.513417119032592,1,0.8541666666666666,7,0,55.142857142857146,59.8944,0.8214285714285714,0.18992783189435697,3.4482758620689653,0.42857142857142855,2.0,79.3,0.7666666666666667,0.3333333333333333,70.48823529411764,6.5117647058823565,0.06393442622950819,0.9666666666666667,81.27435897435898,Below Average,87.2337972166998,0,0,1,0,1,4
24,Female,Army,Junior,Artillery,2,Single,5,Associate,15,373,5,92.2,4,293,True,12436,84.2,74.6,False,20.0,Fair,True,9,0.0,2,21,4.5,2,29,Combat,24,4,Moderate,87.9,8,0,68.8,False,86.9,0.0,High,70.4,Low,LOW_RISK,73.1,0.19636545731580324,0.1353352832366127,0,0.6875,2,0,186.5,74.01180000000001,0.3103448275862069,0.19636545731580324,3.108333333333333,1.0,8.0,461.0,0.3,1.2083333333333333,68.22666666666666,4.873333333333335,0.06393442622950819,0.9014084507042254,82.14514106583071,Above Average,87.2337972166998,0,1,1,0,0,3
53,Male,Army,Officer,Aviation,29,Single,5,Bachelor,22,2000,12,61.1,8,223,True,22090,83.2,100.0,False,2.0,Good,True,21,0.0,0,9,0.72,8,29,Combat,20,4,Low,68.0,3,1,72.7,False,59.7,0.0,High,88.1,Medium,LOW_RISK,75.7,0.2897059346573947,0.18887560283756183,0,0.5416666666666666,19,0,68.96551724137932,56.576,0.7241379310344828,0.2897059346573947,1.8867924528301887,0.27586206896551724,3.0,733.2,0.7,0.08333333333333333,72.0,3.700000000000003,0.06393442622950819,0.9666666666666667,81.71122448979591,Below Average,82.6136690647482,0,1,1,1,1,4
36,Male,Army,NCO,Engineer,16,Single,4,High School,44,1371,9,83.0,5,216,True,19497,85.2,90.4,False,7.0,Fair,True,17,1.0,0,13,1.06,4,20,Domestic,12,2,Low,81.6,3,0,45.2,True,76.2,1.0,High,100.0,High,LOW_RISK,80.0,0.30119421191220214,0.36787944117144233,0,0.08333333333333333,11,0,85.6875,69.5232,0.85,0.30119421191220214,2.511111111111111,0.25,3.0,747.0,0.5666666666666667,0.10416666666666667,74.07058823529412,5.9294117647058755,0.06393442622950819,0.9482758620689655,81.10185185185185,Above Average,84.65279329608938,0,1,0,0,0,4
40,Female,Army,NCO,Cyber Operations,12,Married,2,Bachelor,13,808,7,68.9,5,231,True,14168,76.5,77.3,False,32.0,Good,True,16,1.0,1,14,1.33,4,32,Domestic,20,4,Low,79.1,4,0,49.8,True,59.2,0.0,Medium,87.9,Medium,LOW_RISK,72.8,0.2771120523885023,0.18887560283756183,0,0.7291666666666666,7,0,67.33333333333333,60.5115,0.5,0.2771120523885023,1.9324999999999999,0.3333333333333333,4.0,482.30000000000007,0.5333333333333333,0.2222222222222222,70.75238095238095,2.047619047619051,0.06393442622950819,0.935064935064935,82.27122302158274,Average,84.65279329608938,1,0,1,0,0,3
27,Female,Army,Junior,Intelligence,6,Single,0,Bachelor,37,557,5,79.8,2,405,False,11993,74.8,70.9,False,6.0,Good,True,11,0.0,1,19,1.83,1,33,Combat,20,4,Moderate,76.5,3,0,40.3,True,54.9,0.0,Low,99.8,Low,LOW_RISK,44.7,0.10539922456186433,0.18887560283756183,0,0.22916666666666666,6,1,92.83333333333333,57.222,0.3333333333333333,0.0,2.625925925925926,0.16666666666666666,3.0,399.0,0.36666666666666664,0.4583333333333333,66.50810810810812,-21.808108108108115,0.06393442622950819,0.90625,81.27435897435898,Average,87.2337972166998,0,0,1,0,0,1
